Time,Agent 1,Agent 2,Agent 3,Agent 4
125.6,745.686096311,999.537986315,999.537986315,745.686096311
125.7,745.786996,999.547403298,999.547403298,745.786996
125.8,745.885990154,999.556628339,999.556628339,745.885990154
125.9,745.983114535,999.565665351,999.565665351,745.983114535
126.0,746.078404236,999.574518167,999.574518167,746.078404236
126.1,746.171893699,999.58319054,999.58319054,746.171893699
126.2,746.263616723,999.591686149,999.591686149,746.263616723
126.3,746.353606476,999.600008597,999.600008597,746.353606476
126.4,746.441895509,999.608161412,999.608161412,746.441895509
126.5,746.528515767,999.616148053,999.616148053,746.528515767
126.6,746.613498597,999.623971906,999.623971906,746.613498597
126.7,746.696874764,999.631636289,999.631636289,746.696874764
126.8,746.778674456,999.639144454,999.639144454,746.778674456
126.9,746.858927302,999.646499584,999.646499584,746.858927302
127.0,746.937662374,999.653704797,999.653704797,746.937662374
127.1,747.014908203,999.660763151,999.660763151,747.014908203
127.2,747.09069279,999.667677638,999.667677638,747.09069279
127.3,747.165043609,999.674451191,999.674451191,747.165043609
127.4,747.237987624,999.681086682,999.681086682,747.237987624
127.5,747.309551295,999.687586925,999.687586925,747.309551295
127.6,747.379760586,999.693954677,999.693954677,747.379760586
127.7,747.448640979,999.700192638,999.700192638,747.448640979
127.8,747.516217477,999.706303455,999.706303455,747.516217477
127.9,747.582514618,999.712289718,999.712289718,747.582514618
128.0,747.64755648,999.718153966,999.718153966,747.64755648
128.1,747.711366693,999.723898686,999.723898686,747.711366693
128.2,747.773968442,999.729526314,999.729526314,747.773968442
128.3,747.835384481,999.735039238,999.735039238,747.835384481
128.4,747.895637138,999.740439794,999.740439794,747.895637138
128.5,747.954748323,999.745730274,999.745730274,747.954748323
128.6,748.012739537,999.75091292,999.75091292,748.012739537
128.7,748.069631877,999.755989932,999.755989932,748.069631877
128.8,748.125446047,999.760963461,999.760963461,748.125446047
128.9,748.180202363,999.765835618,999.765835618,748.180202363
129.0,748.23392076,999.770608468,999.770608468,748.23392076
129.1,748.286620801,999.775284035,999.775284035,748.286620801
129.2,748.338321682,999.779864303,999.779864303,748.338321682
129.3,748.38904224,999.784351214,999.784351214,748.38904224
129.4,748.438800959,999.78874667,999.78874667,748.438800959
129.5,748.487615976,999.793052536,999.793052536,748.487615976
129.6,748.535505089,999.797270638,999.797270638,748.535505089
129.7,748.582485763,999.801402764,999.801402764,748.582485763
129.8,748.628575136,999.805450667,999.805450667,748.628575136
129.9,748.673790022,999.809416065,999.809416065,748.673790022
130.0,748.718146923,999.813300637,999.813300637,748.718146923
130.1,748.76166203,999.817106032,999.817106032,748.76166203
130.2,748.80435123,999.820833864,999.820833864,748.80435123
130.3,748.846230115,999.824485714,999.824485714,748.846230115
130.4,748.887313981,999.82806313,999.82806313,748.887313981
130.5,748.927617839,999.831567629,999.831567629,748.927617839
130.6,748.967156418,999.835000698,999.835000698,748.967156418
130.7,749.005944169,999.838363792,999.838363792,749.005944169
130.8,749.043995276,999.841658338,999.841658338,749.043995276
130.9,749.081323652,999.844885733,999.844885733,749.081323652
131.0,749.118533965,999.848047346,999.848047346,749.118533965
131.1,749.205984134,1000,1000,749.205984134
131.2,749.393434303,0.05,0.05,749.393434303
131.3,749.680884472,0.2,0.2,749.680884472
131.4,750.068334641,0.45,0.45,750.068334641
131.5,750.55578481,0.8,0.8,750.55578481
131.6,751.143234979,1.25,1.25,751.143234979
131.7,751.830685148,1.8,1.8,751.830685148
131.8,752.618135317,2.45,2.45,752.618135317
131.9,753.505585486,3.2,3.2,753.505585486
132.0,754.493035655,4.05,4.05,754.493035655
132.1,755.580485824,5.0,5.0,755.580485824
132.2,756.767935993,6.05,6.05,756.767935993
132.3,758.055386162,7.199999999999999,7.199999999999999,758.055386162
132.4,759.442836331,8.45,8.45,759.442836331
132.5,760.9302865,9.799999999999999,9.799999999999999,760.9302865
132.6,762.51773667,11.249999999999998,11.249999999999998,762.51773667
132.7,764.205186839,12.799999999999999,12.799999999999999,764.205186839
132.8,765.992637008,14.45,14.45,765.992637008
132.9,767.880087177,16.2,16.2,767.880087177
133.0,769.867537346,18.05,18.05,769.867537346
133.1,771.954987515,20.0,20.0,771.954987515
133.2,774.142437684,22.05,22.05,774.142437684
133.3,776.429887853,24.2,24.2,776.429887853
133.4,778.817338022,26.45,26.45,778.817338022
133.5,781.304788191,28.8,28.8,781.304788191
133.6,783.89223836,31.25,31.25,783.89223836
133.7,786.579688529,33.8,33.8,786.579688529
133.8,789.367138698,36.449999999999996,36.449999999999996,789.367138698
133.9,792.254588867,39.199999999999996,39.199999999999996,792.254588867
134.0,795.242039036,42.05,42.05,795.242039036
134.1,798.329489205,45.0,45.0,798.329489205
134.2,801.516939374,48.05,48.05,801.516939374
134.3,804.804389543,51.199999999999996,51.199999999999996,804.804389543
134.4,808.191839713,54.449999999999996,54.449999999999996,808.191839713
134.5,811.679289882,57.8,57.8,811.679289882
134.6,815.263368708,61.25,61.25,815.263368708
134.7,818.899190356,64.8,64.8,818.899190356
134.8,822.524473455,68.45,68.45,822.524473455
134.9,826.108244986,72.2,72.2,826.108244986
135.0,829.635464531,76.05,76.05,829.635464531
135.1,833.099192438,80.0,80.0,833.099192438
135.2,836.496600739,84.05,84.05,836.496600739
135.3,839.826941474,88.2,88.2,839.826941474
135.4,843.090512086,92.45,92.45,843.090512086
135.5,846.288128701,96.8,96.8,846.288128701
135.6,849.420858105,101.25,101.25,849.420858105
135.7,852.489881496,105.8,105.8,852.489881496
135.8,855.496425353,110.45,110.45,855.496425353
135.9,858.441726485,115.2,115.2,858.441726485
136.0,861.327014484,120.05,120.05,861.327014484
136.1,864.153503051,125.0,125.0,864.153503051
136.2,866.922385816,130.0,130.0,866.922385816
136.3,869.634834457,135.0,135.0,869.634834457
