Time,Agent 1,Agent 2,Agent 3,Agent 4
394.8,-0.014238550291,-0.153217354224,-0.153217354224,-0.014238550291
394.9,-0.0139483333787,-0.150337350134,-0.150337350134,-0.0139483333787
395.0,-0.0136640318056,-0.147511095838,-0.147511095838,-0.0136640318056
395.1,-0.0133855250025,-0.144737596713,-0.144737596713,-0.0133855250025
395.2,-0.0131126948578,-0.142015876352,-0.142015876352,-0.0131126948578
395.3,-0.012845425667,-0.139344976231,-0.139344976231,-0.012845425667
395.4,-0.0125836040842,-0.136723955394,-0.136723955394,-0.0125836040842
395.5,-0.0123271190735,-0.134151890125,-0.134151890125,-0.0123271190735
395.6,-0.0120758618624,-0.131627873646,-0.131627873646,-0.0120758618624
395.7,-0.0118297258954,-0.129151015801,-0.129151015801,-0.0118297258954
395.8,-0.0115886067889,-0.126720442761,-0.126720442761,-0.0115886067889
395.9,-0.011352402287,-0.124335296729,-0.124335296729,-0.011352402287
396.0,-0.0111210122175,-0.121994735645,-0.121994735645,-0.0111210122175
396.1,-0.0108943384508,-0.119697932903,-0.119697932903,-0.0108943384508
396.2,-0.0106722848567,-0.117444077071,-0.117444077071,-0.0106722848567
396.3,-0.0104547572646,-0.115232371616,-0.115232371616,-0.0104547572646
396.4,-0.0102416634235,-0.113062034636,-0.113062034636,-0.0102416634235
396.5,-0.0100329129626,-0.110932298587,-0.110932298587,-0.0100329129626
396.6,-0.00982841735301,-0.108842410033,-0.108842410033,-0.00982841735301
396.7,-0.00962808987029,-0.106791629379,-0.106791629379,-0.00962808987029
396.8,-0.00943184555762,-0.10477923063,-0.10477923063,-0.00943184555762
396.9,-0.00923960119003,-0.102804501136,-0.102804501136,-0.00923960119003
397.0,-0.00905127523873,-0.100866741353,-0.100866741353,-0.00905127523873
397.1,-0.0088667878366,-0.0989652646046,-0.0989652646046,-0.0088667878366
397.2,-0.00868606074456,-0.0970993968482,-0.0970993968482,-0.00868606074456
397.3,-0.00850901731826,-0.0952684764444,-0.0952684764444,-0.00850901731826
397.4,-0.00833558247534,-0.0934718539322,-0.0934718539322,-0.00833558247534
397.5,-0.00816568266403,-0.0917088918069,-0.0917088918069,-0.00816568266403
397.6,-0.00799924583151,-0.0899789643029,-0.0899789643029,-0.00799924583151
397.7,-0.00783620139374,-0.0882814571801,-0.0882814571801,-0.00783620139374
397.8,-0.00767648020538,-0.0866157675132,-0.0866157675132,-0.00767648020538
397.9,-0.00752001453031,-0.0849813034866,-0.0849813034866,-0.00752001453031
398.0,-0.0073667380131,-0.0833774841917,-0.0833774841917,-0.0073667380131
398.1,-0.00721658565098,-0.0818037394278,-0.0818037394278,-0.00721658565098
398.2,-0.00706949376573,-0.0802595095072,-0.0802595095072,-0.00706949376573
398.3,-0.00692539997737,-0.0787442450639,-0.0787442450639,-0.00692539997737
398.4,-0.0067842431772,-0.0772574068646,-0.0772574068646,-0.0067842431772
398.5,-0.00664596350209,-0.0757984656244,-0.0757984656244,-0.00664596350209
398.6,-0.00651050230921,-0.0743669018251,-0.0743669018251,-0.00651050230921
398.7,-0.00637780215083,-0.0729622055369,-0.0729622055369,-0.00637780215083
398.8,10,-0.0715838762435,-0.0715838762435,10
398.9,10,0.0479712797482,0.0479712797482,10
399.0,10,10,10,10
399.1,10,10,10,10
399.2,10,10,10,10
399.3,10,10,10,10
399.4,10,10,10,10
399.5,10,10,10,10
399.6,10,10,10,10
399.7,10,10,10,10
399.8,10,10,10,10
399.9,10,10,10,10
400.0,10,10,10,10
400.1,10,10,10,10
400.2,10,10,10,10
400.3,10,10,10,10
400.4,10,10,10,10
400.5,10,10,10,10
400.6,10,10,10,10
400.7,10,10,10,10
400.8,10,10,10,10
400.9,10,10,10,10
401.0,10,10,10,10
401.1,10,10,10,10
401.2,10,10,10,10
401.3,10,10,10,10
401.4,10,10,10,10
401.5,10,10,10,10
401.6,10,10,10,10
401.7,10,10,10,10
401.8,10,10,10,10
401.9,10,10,10,10
402.0,10,10,10,10
402.1,10,10,10,10
402.2,10,10,10,10
402.3,10,10,10,10
402.4,10,10,10,10
402.5,10,9.32573142278,9.32573142278,10
402.6,10,1.02283249225,1.02283249225,10
402.7,10,-3.13054239901,-3.13054239901,10
402.8,10,-5.17177104576,-5.17177104576,10
402.9,10,-6.13862643003,-6.13862643003,10
403.0,10,-6.55970100248,-6.55970100248,10
403.1,10,-6.70422020411,-6.70422020411,10
403.2,10,-6.70929308368,-6.70929308368,10
403.3,10,-6.64473151975,-6.64473151975,10
403.4,10,-6.54606798415,-6.54606798415,10
403.5,10,-6.43137420005,-6.43137420005,10
403.6,10,-6.30982825978,-6.30982825978,10
403.7,10,-6.18607855299,-6.18607855299,10
403.8,0.0,-6.06246666377,-6.06246666377,0.0
403.9,0.0,-5.94015966441,-5.94015966441,0.0
404.0,0.0,-5.81972687509,-5.81972687509,0.0
404.1,0.0,-5.70143364446,-5.70143364446,0.0
404.2,0.0,-5.58539098594,-5.58539098594,0.0
404.3,0.0,-5.47163178947,-5.47163178947,0.0
404.4,0.0,-5.36014963254,-5.36014963254,0.0
404.5,0.0,-5.25091853991,-5.25091853991,0.0
404.6,0.0,-5.14390303929,-5.14390303929,0.0
404.7,0.0,-5.03906327408,-5.03906327408,0.0
404.8,0.0,-4.9363575985,-4.9363575985,0.0
404.9,0.0,-4.83574389041,-4.83574389041,0.0
405.0,0.0,-4.73718021116,-4.73718021116,0.0
405.1,0.0,-4.64062513311,-4.64062513311,0.0
405.2,0.0,-4.54603789783,-4.54603789783,0.0
405.3,0.0,-4.45337848844,-4.45337848844,0.0
405.4,0.0,-4.36260765828,-4.36260765828,0.0
405.5,0.0,-4.27368693744,-4.27368693744,0.0
405.6,0.0,-4.18657862837,-4.18657862837,0.0
405.7,0.0,-4.10124579586,-4.10124579586,0.0
405.8,0.0,-4.01765225448,-4.01765225448,0.0
405.9,0.0,-3.93576255478,-3.93576255478,0.0
406.0,0.0,-3.85554196909,-3.85554196909,0.0
406.1,0.0,-3.77695647713,-3.77695647713,0.0
406.2,0.0,-3.69997275188,-3.69997275188,0.0
406.3,0.0,-3.62455814546,-3.62455814546,0.0
406.4,0.0,-3.5506806754,-3.5506806754,0.0
406.5,0.0,-3.47830901109,-3.47830901109,0.0
406.6,0.0,-3.40741246048,-3.40741246048,0.0
406.7,0.0,-3.33796095713,-3.33796095713,0.0
406.8,0.0,-3.26992504738,-3.26992504738,0.0
406.9,0.0,-3.20327587794,-3.20327587794,0.0
407.0,0.0,-3.13798518362,-3.13798518362,0.0
407.1,0.0,-3.07402527531,-3.07402527531,0.0
407.2,0.0,-3.01136902831,-3.01136902831,0.0
407.3,0.0,-2.94998987078,-2.94998987078,0.0
407.4,0.0,-2.88986177246,-2.88986177246,0.0
407.5,0.0,-2.83095923367,-2.83095923367,0.0
407.6,0.0,-2.77325727448,-2.77325727448,0.0
407.7,0.0,-2.7167314241,-2.7167314241,0.0
407.8,0.0,-2.66135771052,-2.66135771052,0.0
407.9,0.0,-2.60711265034,-2.60711265034,0.0
408.0,0.0,-2.5539732388,-2.5539732388,0.0
408.1,0.0,-2.50191694006,-2.50191694006,0.0
408.2,0.0,-2.45092167759,-2.45092167759,0.0
408.3,0.0,-2.40096582484,-2.40096582484,0.0
408.4,0.0,-2.35202819607,-2.35202819607,0.0
408.5,0.0,-2.30408803735,-2.30408803735,0.0
408.6,0.0,-2.25712501778,-2.25712501778,0.0
408.7,0.0,-2.21111922083,-2.21111922083,0.0
408.8,0.0,-2.16605113595,-2.16605113595,0.0
408.9,0.0,-2.12190165023,-2.12190165023,0.0
409.0,0.0,-2.07865204036,-2.07865204036,0.0
409.1,0.0,-2.03628396462,-2.03628396462,0.0
409.2,0.0,-1.99477945519,-1.99477945519,0.0
409.3,0.0,-1.95412091043,-1.95412091043,0.0
409.4,0.0,-1.91429108749,-1.91429108749,0.0
409.5,0.0,-1.87527309497,-1.87527309497,0.0
409.6,0.0,-1.83705038575,-1.83705038575,0.0
409.7,0.0,-1.79960674999,-1.79960674999,0.0
409.8,0.0,-1.76292630825,-1.76292630825,0.0
409.9,0.0,-1.72699350474,-1.72699350474,0.0
410.0,0.0,-1.69179310074,-1.69179310074,0.0
410.1,0.0,-1.65731016813,-1.65731016813,0.0
410.2,0.0,-1.62353008308,-1.62353008308,0.0
410.3,0.0,-1.59043851981,-1.59043851981,0.0
410.4,0.0,-1.55802144454,-1.55802144454,0.0
410.5,0.0,-1.52626510954,-1.52626510954,0.0
410.6,0.0,-1.49515604727,-1.49515604727,0.0
410.7,0.0,-1.46468106473,-1.46468106473,0.0
410.8,-3.05028751334,-1.4348272378,-1.4348272378,-3.05028751334
410.9,-5.9606212289,-1.40558190578,-1.40558190578,-5.9606212289
411.0,-7.36409401112,-1.37693266604,-1.37693266604,-7.36409401112
411.1,-8.00138787103,-1.34886736875,-1.34886736875,-8.00138787103
411.2,-8.24976941752,-1.32137411172,-1.32137411172,-8.24976941752
411.3,-8.30138821604,-1.29444123534,-1.29444123534,-8.30138821604
411.4,-8.25409884197,-1.26805731768,-1.26805731768,-8.25409884197
411.5,-8.15772403692,-1.24221116958,-1.24221116958,-8.15772403692
411.6,-8.03762034392,-1.21689182999,-1.21689182999,-8.03762034392
411.7,-7.90668202303,-1.19208856123,-1.19208856123,-7.90668202303
411.8,-7.77145562986,-1.16779084451,-1.16779084451,-7.77145562986
411.9,-7.63525466897,-1.14398837542,-1.14398837542,-7.63525466897
412.0,-7.49974613801,-1.12067105959,-1.12067105959,-7.49974613801
412.1,-7.36575868003,-1.0978290084,-1.0978290084,-7.36575868003
412.2,-7.23369423656,-1.07545253477,-1.07545253477,-7.23369423656
412.3,-7.10373773102,-1.05353214908,-1.05353214908,-7.10373773102
412.4,-6.97596387256,-1.03205855513,-1.03205855513,-6.97596387256
412.5,-6.8503915547,-1.01102264619,-1.01102264619,-6.8503915547
412.6,-6.72701155991,-0.990415501176,-0.990415501176,-6.72701155991
412.7,-6.60580066675,-0.970228380799,-0.970228380799,-6.60580066675
412.8,-6.48672883073,-0.950452723924,-0.950452723924,-6.48672883073
412.9,-6.36976283721,-0.931080143903,-0.931080143903,-6.36976283721
413.0,-6.25486815719,-0.912102425034,-0.912102425034,-6.25486815719
413.1,-6.14200988787,-0.893511519068,-0.893511519068,-6.14200988787
413.2,-6.03115322695,-0.875299541801,-0.875299541801,-6.03115322695
413.3,-5.92226370962,-0.857458769726,-0.857458769726,-5.92226370962
413.4,-5.81530732464,-0.839981636763,-0.839981636763,-5.81530732464
413.5,-5.71025056898,-0.822860731048,-0.822860731048,-5.71025056898
413.6,-5.60706047114,-0.806088791785,-0.806088791785,-5.60706047114
413.7,-5.50570459869,-0.789658706175,-0.789658706175,-5.50570459869
413.8,-5.40615105774,-0.773563506394,-0.773563506394,-5.40615105774
413.9,-5.30836848843,-0.757796366639,-0.757796366639,-5.30836848843
414.0,-5.2123260584,-0.742350600235,-0.742350600235,-5.2123260584
414.1,-5.11799345537,-0.727219656797,-0.727219656797,-5.11799345537
414.2,-5.02534087929,-0.712397119454,-0.712397119454,-5.02534087929
414.3,-4.93433903424,-0.697876702125,-0.697876702125,-4.93433903424
414.4,-4.8449591205,-0.683652246856,-0.683652246856,-4.8449591205
414.5,-4.75717282647,-0.669717721209,-0.669717721209,-4.75717282647
414.6,-4.67095232083,-0.656067215699,-0.656067215699,-4.67095232083
414.7,-4.58627024471,-0.642694941292,-0.642694941292,-4.58627024471
414.8,-4.50309970403,-0.62959522695,-0.62959522695,-4.50309970403
414.9,-4.4214142619,-0.616762517224,-0.616762517224,-4.4214142619
415.0,-4.34118793115,-0.604191369899,-0.604191369899,-4.34118793115
415.1,-4.26239516702,-0.591876453684,-0.591876453684,-4.26239516702
415.2,-4.18501085989,-0.579812545956,-0.579812545956,-4.18501085989
415.3,-4.10901032816,-0.567994530541,-0.567994530541,-4.10901032816
415.4,-4.03436931125,-0.556417395543,-0.556417395543,-4.03436931125
415.5,-3.96106396266,-0.545076231223,-0.545076231223,-3.96106396266
415.6,-3.88907084321,-0.533966227916,-0.533966227916,-3.88907084321
415.7,-3.81836691429,-0.523082673986,-0.523082673986,-3.81836691429
415.8,-3.74892953133,-0.512420953835,-0.512420953835,-3.74892953133
415.9,-3.68073643725,-0.501976545942,-0.501976545942,-3.68073643725
416.0,-3.61376575612,-0.491745020943,-0.491745020943,-3.61376575612
416.1,-3.54799598683,-0.48172203976,-0.48172203976,-3.54799598683
416.2,-3.48340599693,-0.471903351752,-0.471903351752,-3.48340599693
416.3,-3.41997501651,-0.462284792918,-0.462284792918,-3.41997501651
416.4,-3.3576826322,-0.452862284131,-0.452862284131,-3.3576826322
416.5,-3.29650878131,-0.443631829405,-0.443631829405,-3.29650878131
416.6,-3.23643374595,-0.434589514202,-0.434589514202,-3.23643374595
416.7,-3.17743814735,-0.425731503774,-0.425731503774,-3.17743814735
416.8,-3.11950294021,-0.417054041533,-0.417054041533,-3.11950294021
416.9,-3.06260940718,-0.408553447459,-0.408553447459,-3.06260940718
417.0,-3.00673915336,-0.400226116542,-0.400226116542,-3.00673915336
417.1,-2.95187410098,-0.392068517249,-0.392068517249,-2.95187410098
417.2,-2.8979964841,-0.384077190029,-0.384077190029,-2.8979964841
417.3,-2.84508884338,-0.376248745846,-0.376248745846,-2.84508884338
417.4,-2.79313402099,-0.36857986474,-0.36857986474,-2.79313402099
417.5,-2.74211515557,-0.361067294421,-0.361067294421,-2.74211515557
417.6,-2.69201567727,-0.353707848888,-0.353707848888,-2.69201567727
417.7,-2.64281930286,-0.346498407077,-0.346498407077,-2.64281930286
417.8,-2.59451003096,-0.339435911543,-0.339435911543,-2.59451003096
417.9,-2.54707213727,-0.332517367157,-0.332517367157,-2.54707213727
418.0,-2.50049016997,-0.325739839836,-0.325739839836,-2.50049016997
418.1,-2.45474894511,-0.319100455305,-0.319100455305,-2.45474894511
418.2,-2.40983354213,-0.31259639787,-0.31259639787,-2.40983354213
418.3,-2.36572929941,-0.306224909232,-0.306224909232,-2.36572929941
418.4,-2.32242180994,-0.299983287309,-0.299983287309,-2.32242180994
418.5,-2.27989691701,-0.293868885097,-0.293868885097,-2.27989691701
418.6,-2.23814071001,-0.287879109541,-0.287879109541,-2.23814071001
418.7,-2.19713952026,-0.282011420444,-0.282011420444,-2.19713952026
418.8,-2.15687991694,-0.27626332938,-0.27626332938,-2.15687991694
418.9,-2.11734870306,-0.270632398645,-0.270632398645,-2.11734870306
419.0,-2.07853291154,-0.265116240222,-0.265116240222,-2.07853291154
419.1,-2.04041980126,-0.259712514767,-0.259712514767,-2.04041980126
419.2,-2.00299685331,-0.254418930617,-0.254418930617,-2.00299685331
419.3,-1.96625176716,-0.24923324282,-0.24923324282,-1.96625176716
419.4,-1.930172457,-0.244153252181,-0.244153252181,-1.930172457
419.5,-1.89474704807,-0.239176804331,-0.239176804331,-1.89474704807
419.6,-1.85996387311,-0.23430178881,-0.23430178881,-1.85996387311
419.7,-1.82581146879,-0.229526138177,-0.229526138177,-1.82581146879
419.8,-1.79227857229,-0.224847827129,-0.224847827129,-1.79227857229
419.9,-1.75935411787,-0.220264871645,-0.220264871645,-1.75935411787
420.0,-1.72702723349,-0.215775328142,-0.215775328142,-1.72702723349
420.1,-1.69528723754,-0.211377292653,-0.211377292653,-1.69528723754
420.2,-1.66412363562,-0.207068900017,-0.207068900017,-1.66412363562
420.3,-1.63352611726,-0.202848323092,-0.202848323092,-1.63352611726
420.4,-1.60348455288,-0.198713771975,-0.198713771975,-1.60348455288
420.5,-1.57398899064,-0.194663493248,-0.194663493248,-1.57398899064
420.6,-1.54502965341,-0.190695769231,-0.190695769231,-1.54502965341
420.7,-1.5165969358,-0.186808917254,-0.186808917254,-1.5165969358
420.8,-1.4886814012,-0.183001288945,-0.183001288945,-1.4886814012
420.9,-1.46127377892,-0.179271269529,-0.179271269529,-1.46127377892
421.0,-1.43436496132,-0.175617277145,-0.175617277145,-1.43436496132
421.1,-1.407946001,-0.172037762175,-0.172037762175,-1.407946001
421.2,-1.38200810811,-0.168531206582,-0.168531206582,-1.38200810811
421.3,-1.35654264759,-0.165096123276,-0.165096123276,-1.35654264759
421.4,-1.33154113654,-0.161731055473,-0.161731055473,-1.33154113654
421.5,-1.30699524157,-0.158434576085,-0.158434576085,-1.30699524157
421.6,-1.28289677629,-0.155205287109,-0.155205287109,-1.28289677629
421.7,-1.25923769873,-0.15204181904,-0.15204181904,-1.25923769873
421.8,-1.23601010885,-0.148942830282,-0.148942830282,-1.23601010885
421.9,-1.21320624614,-0.14590700659,-0.14590700659,-1.21320624614
422.0,-1.19081848717,-0.142933060501,-0.142933060501,-1.19081848717
422.1,-1.16883934326,-0.140019730798,-0.140019730798,-1.16883934326
422.2,-1.14726145811,-0.137165781968,-0.137165781968,-1.14726145811
422.3,-1.12607760557,-0.134370003682,-0.134370003682,-1.12607760557
422.4,-1.10528068735,-0.131631210281,-0.131631210281,-1.10528068735
422.5,-1.08486373082,-0.128948240271,-0.128948240271,-1.08486373082
422.6,-1.06481988684,-0.126319955833,-0.126319955833,-1.06481988684
422.7,-1.04514242764,-0.12374524234,-0.12374524234,-1.04514242764
422.8,-1.02582474466,-0.121223007884,-0.121223007884,-1.02582474466
422.9,-1.00686034657,-0.118752182811,-0.118752182811,-1.00686034657
423.0,-0.988242857155,-0.116331719272,-0.116331719272,-0.988242857155
423.1,-0.969966013375,-0.113960590773,-0.113960590773,-0.969966013375
423.2,-0.952023663377,-0.111637791744,-0.111637791744,-0.952023663377
423.3,-0.934409764565,-0.109362337112,-0.109362337112,-0.934409764565
423.4,-0.91711838171,-0.107133261879,-0.107133261879,-0.91711838171
423.5,-0.900143685074,-0.104949620719,-0.104949620719,-0.900143685074
423.6,-0.883479948585,-0.102810487573,-0.102810487573,-0.883479948585
423.7,-0.867121548025,-0.100714955257,-0.100714955257,-0.867121548025
423.8,-0.851062959261,-0.0986621350792,-0.0986621350792,-0.851062959261
423.9,-0.835298756501,-0.0966511564596,-0.0966511564596,-0.835298756501
424.0,-0.819823610579,-0.0946811665637,-0.0946811665637,-0.819823610579
424.1,-0.804632287271,-0.0927513299401,-0.0927513299401,-0.804632287271
424.2,-0.789719645639,-0.0908608281655,-0.0908608281655,-0.789719645639
424.3,-0.775080636403,-0.0890088594983,-0.0890088594983,-0.775080636403
424.4,-0.760710300337,-0.0871946385385,-0.0871946385385,-0.760710300337
424.5,-0.746603766702,-0.0854173958941,-0.0854173958941,-0.746603766702
424.6,-0.732756251693,-0.0836763778556,-0.0836763778556,-0.732756251693
424.7,-0.719163056921,-0.0819708460759,-0.0819708460759,-0.719163056921
424.8,-0.70581956792,-0.080300077257,-0.080300077257,-0.70581956792
424.9,-0.692721252675,-0.0786633628438,-0.0786633628438,-0.692721252675
425.0,-0.67986366018,-0.0770600087231,-0.0770600087231,-0.67986366018
425.1,-0.667242419018,-0.0754893349297,-0.0754893349297,-0.667242419018
425.2,-0.654853235963,-0.0739506753575,-0.0739506753575,-0.654853235963
425.3,-0.642691894616,-0.0724433774774,-0.0724433774774,-0.642691894616
425.4,-0.630754254047,-0.0709668020604,-0.0709668020604,-0.630754254047
425.5,-0.619036247477,-0.0695203229067,-0.0695203229067,-0.619036247477
425.6,-0.607533880974,-0.06810332658,-0.06810332658,-0.607533880974
425.7,-0.596243232172,-0.0667152121472,-0.0667152121472,-0.596243232172
425.8,-0.585160449015,-0.0653553909238,-0.0653553909238,-0.585160449015
425.9,-0.574281748514,-0.064023286224,-0.064023286224,-0.574281748514
426.0,-0.563603415543,-0.0627183331166,-0.0627183331166,-0.563603415543
426.1,-0.553121801633,-0.0614399781848,-0.0614399781848,-0.553121801633
426.2,-0.542833323805,-0.060187679292,-0.060187679292,-0.542833323805
426.3,-0.532734463413,-0.0589609053517,-0.0589609053517,-0.532734463413
426.4,-0.522821765011,-0.0577591361019,-0.0577591361019,-0.522821765011
426.5,-0.51309183524,-0.0565818618852,-0.0565818618852,-0.51309183524
426.6,-0.503541341729,-0.0554285834322,-0.0554285834322,-0.503541341729
426.7,-0.494167012022,-0.0542988116499,-0.0542988116499,-0.494167012022
426.8,-0.484965632516,-0.053192067414,-0.053192067414,-0.484965632516
426.9,-0.475934047428,-0.0521078813661,-0.0521078813661,-0.475934047428
427.0,-0.467069157766,-0.0510457937146,-0.0510457937146,-0.467069157766
427.1,-0.458367920329,-0.0500053540394,-0.0500053540394,-0.458367920329
427.2,-0.449827346719,-0.0489861211009,-0.0489861211009,-0.449827346719
427.3,-0.441444502371,-0.0479876626537,-0.0479876626537,-0.441444502371
427.4,-0.4332165056,-0.047009555262,-0.047009555262,-0.4332165056
427.5,-0.425140526666,-0.0460513841209,-0.0460513841209,-0.425140526666
427.6,-0.417213786853,-0.0451127428803,-0.0451127428803,-0.417213786853
427.7,-0.409433557561,-0.0441932334725,-0.0441932334725,-0.409433557561
427.8,-0.401797159425,-0.0432924659432,-0.0432924659432,-0.401797159425
427.9,-0.394301961433,-0.0424100582867,-0.0424100582867,-0.394301961433
428.0,-0.386945380075,-0.0415456362832,-0.0415456362832,-0.386945380075
428.1,-0.379724878494,-0.0406988333406,-0.0406988333406,-0.379724878494
428.2,-0.372637965664,-0.0398692903389,-0.0398692903389,-0.372637965664
428.3,-0.365682195567,-0.0390566554776,-0.0390566554776,-0.365682195567
428.4,-0.358855166403,-0.038260584127,-0.038260584127,-0.358855166403
428.5,-0.352154519796,-0.0374807386818,-0.0374807386818,-0.352154519796
428.6,-0.345577940023,-0.0367167884179,-0.0367167884179,-0.345577940023
428.7,-0.339123153258,-0.035968409352,-0.035968409352,-0.339123153258
428.8,-0.332787926826,-0.0352352841045,-0.0352352841045,-0.332787926826
428.9,-0.326570068464,-0.0345171017651,-0.0345171017651,-0.326570068464
429.0,-0.320467425611,-0.03381355776,-0.03381355776,-0.320467425611
429.1,-0.314477884692,-0.0331243537238,-0.0331243537238,-0.314477884692
429.2,-0.308599370426,-0.0324491973726,-0.0324491973726,-0.308599370426
429.3,-0.302829845143,-0.0317878023796,-0.0317878023796,-0.302829845143
429.4,-0.297167308115,-0.0311398882543,-0.0311398882543,-0.297167308115
429.5,-0.291609794893,-0.0305051802233,-0.0305051802233,-0.291609794893
429.6,-0.28615537666,-0.0298834091135,-0.0298834091135,-0.28615537666
429.7,-0.280802159598,-0.0292743112387,-0.0292743112387,-0.280802159598
429.8,-0.275548284258,-0.0286776282867,-0.0286776282867,-0.275548284258
429.9,-0.270391924948,-0.0280931072108,-0.0280931072108,-0.270391924948
430.0,-0.265331289131,-0.0275205001217,-0.0275205001217,-0.265331289131
430.1,-0.260364616828,-0.0269595641831,-0.0269595641831,-0.260364616828
430.2,-0.255490180038,-0.0264100615079,-0.0264100615079,-0.255490180038
430.3,-0.250706282166,-0.0258717590579,-0.0258717590579,-0.250706282166
430.4,-0.24601125746,-0.0253444285448,-0.0253444285448,-0.24601125746
430.5,-0.241403470456,-0.0248278463333,-0.0248278463333,-0.241403470456
430.6,-0.236881315441,-0.0243217933464,-0.0243217933464,-0.236881315441
430.7,-0.232443215914,-0.0238260549725,-0.0238260549725,-0.232443215914
430.8,-0.228087624066,-0.0233404209742,-0.0233404209742,-0.228087624066
430.9,-0.223813020261,-0.0228646853993,-0.0228646853993,-0.223813020261
431.0,-0.219617912538,-0.0223986464934,-0.0223986464934,-0.219617912538
431.1,-0.215500836106,-0.0219421066145,-0.0219421066145,-0.215500836106
431.2,-0.211460352861,-0.0214948721487,-0.0214948721487,-0.211460352861
